                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                  90.5400             7.480688E+02            -1.358174E+04
                  90.7200             7.478165E+02            -1.397227E+04
                  90.9000             7.475570E+02            -1.436232E+04
                  91.0800             7.472904E+02            -1.475189E+04
                  91.2600             7.470166E+02            -1.514097E+04
                  91.4400             7.467358E+02            -1.552955E+04
                  91.6200             7.464478E+02            -1.591764E+04
                  91.8000             7.461527E+02            -1.630522E+04
                  91.9800             7.458505E+02            -1.669231E+04
                  92.1600             7.455413E+02            -1.707890E+04
                  92.3400             7.452249E+02            -1.746497E+04
                  92.5200             7.449015E+02            -1.785054E+04
                  92.7000             7.445711E+02            -1.823560E+04
                  92.8800             7.442336E+02            -1.862014E+04
                  93.0600             7.438890E+02            -1.900417E+04
                  93.2400             7.435374E+02            -1.938768E+04
                  93.4200             7.431788E+02            -1.977066E+04
                  93.6000             7.428132E+02            -2.015312E+04
                  93.7800             7.424406E+02            -2.053505E+04
                  93.9600             7.420610E+02            -2.091645E+04
                  94.1400             7.416745E+02            -2.129732E+04
                  94.3200             7.412809E+02            -2.167765E+04
                  94.5000             7.408804E+02            -2.205744E+04
                  94.6800             7.404730E+02            -2.243670E+04
                  94.8600             7.400586E+02            -2.281541E+04
                  95.0400             7.396372E+02            -2.319358E+04
                  95.2200             7.392090E+02            -2.357119E+04
                  95.4000             7.387738E+02            -2.394826E+04
                  95.5800             7.383318E+02            -2.432478E+04
                  95.7600             7.378828E+02            -2.470074E+04
                  95.9400             7.374270E+02            -2.507614E+04
                  96.1200             7.369643E+02            -2.545098E+04
                  96.3000             7.364947E+02            -2.582526E+04
                  96.4800             7.360183E+02            -2.619898E+04
                  96.6600             7.355350E+02            -2.657212E+04
                  96.8400             7.350450E+02            -2.694470E+04
                  97.0200             7.345481E+02            -2.731671E+04
                  97.2000             7.340444E+02            -2.768814E+04
                  97.3800             7.335338E+02            -2.805899E+04
                  97.5600             7.330166E+02            -2.842927E+04
                  97.7400             7.324925E+02            -2.879897E+04
                  97.9200             7.319617E+02            -2.916808E+04
                  98.1000             7.314241E+02            -2.953660E+04
                  98.2800             7.308797E+02            -2.990454E+04
                  98.4600             7.303287E+02            -3.027189E+04
                  98.6400             7.297709E+02            -3.063865E+04
                  98.8200             7.292064E+02            -3.100481E+04
                  99.0000             7.286352E+02            -3.137037E+04
                  99.1800             7.280573E+02            -3.173534E+04
                  99.3600             7.274727E+02            -3.209970E+04
                  99.5400             7.268815E+02            -3.246347E+04
                  99.7200             7.262836E+02            -3.282662E+04
                  99.9000             7.256790E+02            -3.318917E+04
                 100.0800             7.250679E+02            -3.355111E+04
                 100.2600             7.244501E+02            -3.391244E+04
                 100.4400             7.238256E+02            -3.427315E+04
                 100.6200             7.231946E+02            -3.463325E+04
                 100.8000             7.225570E+02            -3.499273E+04
                 100.9800             7.219129E+02            -3.535159E+04
                 101.1600             7.212621E+02            -3.570983E+04
                 101.3400             7.206048E+02            -3.606745E+04
                 101.5200             7.199410E+02            -3.642443E+04
                 101.7000             7.192706E+02            -3.678080E+04
                 101.8800             7.185937E+02            -3.713653E+04
                 102.0600             7.179103E+02            -3.749163E+04
                 102.2400             7.172204E+02            -3.784609E+04
                 102.4200             7.165240E+02            -3.819992E+04
                 102.6000             7.158211E+02            -3.855311E+04
                 102.7800             7.151118E+02            -3.890567E+04
                 102.9600             7.143960E+02            -3.925758E+04
