                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                  33.6600             1.007511E+00             4.561519E-08             9.424694E-06             0.000000E+00            -1.980591E-06             7.489718E-06
                  33.8400             1.007343E+00             4.558347E-08             9.436257E-06             0.000000E+00            -2.001031E-06             7.480809E-06
                  34.0200             1.007179E+00             4.555258E-08             9.444913E-06             0.000000E+00            -2.021291E-06             7.469175E-06
                  34.2000             1.007019E+00             4.552254E-08             9.453756E-06             0.000000E+00            -2.041372E-06             7.457907E-06
                  34.3800             1.006864E+00             4.549327E-08             9.462785E-06             0.000000E+00            -2.061279E-06             7.446999E-06
                  34.5600             1.006713E+00             4.546480E-08             9.471996E-06             0.000000E+00            -2.081013E-06             7.436447E-06
                  34.7400             1.006566E+00             4.501609E-08             9.481386E-06             0.000000E+00            -2.100579E-06             7.425824E-06
                  34.9200             1.006424E+00             4.498864E-08             9.494092E-06             0.000000E+00            -2.119978E-06             7.419103E-06
                  35.1000             1.006285E+00             4.496193E-08             9.503838E-06             0.000000E+00            -2.139215E-06             7.409585E-06
                  35.2800             1.006149E+00             4.493593E-08             9.516906E-06             0.000000E+00            -2.158291E-06             7.403551E-06
                  35.4600             1.006018E+00             4.491062E-08             9.526995E-06             0.000000E+00            -2.177210E-06             7.394696E-06
                  35.6400             1.005890E+00             4.488597E-08             9.537250E-06             0.000000E+00            -2.195975E-06             7.386161E-06
                  35.8200             1.005765E+00             4.486199E-08             9.550836E-06             0.000000E+00            -2.214589E-06             7.381109E-06
                  36.0000             1.005644E+00             4.483864E-08             9.564595E-06             0.000000E+00            -2.233054E-06             7.376379E-06
                  36.1800             1.005526E+00             4.481592E-08             9.575338E-06             0.000000E+00            -2.251374E-06             7.368780E-06
                  36.3600             1.005411E+00             4.479380E-08             9.589425E-06             0.000000E+00            -2.269551E-06             7.364669E-06
                  36.5400             1.005299E+00             4.477226E-08             9.600480E-06             0.000000E+00            -2.287587E-06             7.357665E-06
                  36.7200             1.005191E+00             4.475129E-08             9.614886E-06             0.000000E+00            -2.305487E-06             7.354150E-06
                  36.9000             1.005085E+00             4.473089E-08             9.629449E-06             0.000000E+00            -2.323252E-06             7.350928E-06
                  37.0800             1.004982E+00             4.471101E-08             9.644169E-06             0.000000E+00            -2.340885E-06             7.347995E-06
