                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                  25.3800             1.466823E-01            -2.058098E-01            -6.074642E-04             4.275308E-02            -1.636642E-01             6.332113E-01             7.649194E-02             4.695472E-01
                  25.5600             1.471876E-01            -2.066822E-01            -6.098793E-04             4.304014E-02            -1.642520E-01             6.338726E-01             7.647715E-02             4.696207E-01
                  25.7400             1.476920E-01            -2.075436E-01            -6.122594E-04             4.332683E-02            -1.648291E-01             6.345389E-01             7.646845E-02             4.697098E-01
                  25.9200             1.481956E-01            -2.083939E-01            -6.146044E-04             4.361311E-02            -1.653954E-01             6.352098E-01             7.646569E-02             4.698144E-01
                  26.1000             1.486984E-01            -2.092331E-01            -6.169142E-04             4.389899E-02            -1.659510E-01             6.358852E-01             7.646860E-02             4.699342E-01
                  26.2800             1.492003E-01            -2.100610E-01            -6.191888E-04             4.418444E-02            -1.664958E-01             6.365647E-01             7.647690E-02             4.700689E-01
                  26.4600             1.497013E-01            -2.108778E-01            -6.214281E-04             4.446945E-02            -1.670298E-01             6.372481E-01             7.649024E-02             4.702183E-01
                  26.6400             1.502014E-01            -2.116833E-01            -6.236320E-04             4.475401E-02            -1.675529E-01             6.379348E-01             7.650826E-02             4.703819E-01
                  26.8200             1.507005E-01            -2.124776E-01            -6.258005E-04             4.503812E-02            -1.680653E-01             6.386247E-01             7.653055E-02             4.705594E-01
                  27.0000             1.511988E-01            -2.132605E-01            -6.279334E-04             4.532174E-02            -1.685667E-01             6.393171E-01             7.655669E-02             4.707504E-01
                  27.1800             1.516960E-01            -2.140322E-01            -6.300307E-04             4.560489E-02            -1.690573E-01             6.400117E-01             7.658627E-02             4.709544E-01
                  27.3600             1.521923E-01            -2.147925E-01            -6.320924E-04             4.588753E-02            -1.695370E-01             6.407080E-01             7.661887E-02             4.711710E-01
                  27.5400             1.526876E-01            -2.155414E-01            -6.341185E-04             4.616966E-02            -1.700058E-01             6.414057E-01             7.665405E-02             4.713999E-01
                  27.7200             1.531818E-01            -2.162789E-01            -6.361087E-04             4.645128E-02            -1.704637E-01             6.421043E-01             7.669142E-02             4.716406E-01
                  27.9000             1.536750E-01            -2.170050E-01            -6.380632E-04             4.673236E-02            -1.709107E-01             6.428034E-01             7.673058E-02             4.718927E-01
                  28.0800             1.541671E-01            -2.177196E-01            -6.399818E-04             4.701290E-02            -1.713467E-01             6.435026E-01             7.677115E-02             4.721559E-01
                  28.2600             1.546582E-01            -2.184227E-01            -6.418645E-04             4.729289E-02            -1.717717E-01             6.442015E-01             7.681277E-02             4.724298E-01
                  28.4400             1.551481E-01            -2.191144E-01            -6.437113E-04             4.757231E-02            -1.721858E-01             6.448999E-01             7.685512E-02             4.727141E-01
                  28.6200             1.556369E-01            -2.197945E-01            -6.455221E-04             4.785116E-02            -1.725889E-01             6.455974E-01             7.689788E-02             4.730085E-01
                  28.8000             1.561245E-01            -2.204631E-01            -6.472969E-04             4.812943E-02            -1.729810E-01             6.462936E-01             7.694077E-02             4.733126E-01
                  28.9800             1.566110E-01            -2.211202E-01            -6.490357E-04             4.840711E-02            -1.733621E-01             6.469884E-01             7.698353E-02             4.736263E-01
                  29.1600             1.570963E-01            -2.217657E-01            -6.507383E-04             4.868419E-02            -1.737322E-01             6.476815E-01             7.702594E-02             4.739493E-01
                  29.3400             1.575804E-01            -2.223995E-01            -6.524049E-04             4.896066E-02            -1.740913E-01             6.483727E-01             7.706777E-02             4.742814E-01
                  29.5200             1.580632E-01            -2.230218E-01            -6.540353E-04             4.923651E-02            -1.744393E-01             6.490618E-01             7.710886E-02             4.746225E-01
                  29.7000             1.585448E-01            -2.236324E-01            -6.556296E-04             4.951174E-02            -1.747763E-01             6.497486E-01             7.714904E-02             4.749723E-01
                  29.8800             1.590252E-01            -2.242314E-01            -6.571876E-04             4.978633E-02            -1.751022E-01             6.504330E-01             7.718817E-02             4.753307E-01
                  30.0600             1.595042E-01            -2.248187E-01            -6.587095E-04             5.006028E-02            -1.754171E-01             6.511148E-01             7.722614E-02             4.756977E-01
                  30.2400             1.599820E-01            -2.253943E-01            -6.601952E-04             5.033358E-02            -1.757209E-01             6.517940E-01             7.726286E-02             4.760731E-01
                  30.4200             1.604584E-01            -2.259582E-01            -6.616446E-04             5.060623E-02            -1.760137E-01             6.524705E-01             7.729824E-02             4.764568E-01
                  30.6000             1.609335E-01            -2.265105E-01            -6.630578E-04             5.087821E-02            -1.762953E-01             6.531441E-01             7.733222E-02             4.768488E-01
                  30.7800             1.614073E-01            -2.270510E-01            -6.644347E-04             5.114952E-02            -1.765659E-01             6.538149E-01             7.736477E-02             4.772490E-01
                  30.9600             1.618796E-01            -2.275798E-01            -6.657754E-04             5.142016E-02            -1.768254E-01             6.544828E-01             7.739585E-02             4.776575E-01
                  31.1400             1.623506E-01            -2.280968E-01            -6.670799E-04             5.169011E-02            -1.770738E-01             6.551478E-01             7.742543E-02             4.780741E-01
                  31.3200             1.628202E-01            -2.286021E-01            -6.683480E-04             5.195938E-02            -1.773111E-01             6.558099E-01             7.745353E-02             4.784989E-01
                  31.5000             1.632884E-01            -2.290956E-01            -6.695800E-04             5.222795E-02            -1.775373E-01             6.564691E-01             7.748012E-02             4.789318E-01
                  31.6800             1.637551E-01            -2.295774E-01            -6.707757E-04             5.249582E-02            -1.777524E-01             6.571253E-01             7.750524E-02             4.793729E-01
                  31.8600             1.642203E-01            -2.300474E-01            -6.719351E-04             5.276298E-02            -1.779563E-01             6.577786E-01             7.752889E-02             4.798222E-01
                  32.0400             1.646841E-01            -2.305056E-01            -6.730583E-04             5.302943E-02            -1.781492E-01             6.584290E-01             7.755111E-02             4.802798E-01
